temperature,humidity
26.2,83.5
26.2,83.5
26.2,83.5
26.2,83.5
26.2,83.5
26.2,83.5
26.2,83.5
26.2,83.6
26.3,83.7
26.3,83.6
26.2,83.7
26.3,83.6
26.3,91.1
26.3,90.2
26.3,88.2
26.3,86.8
26.3,85.8
26.3,85.1
26.3,84.6
26.3,84.2
26.4,84.1
26.4,84.1
26.3,84.0
26.3,83.8
26.3,83.6
26.3,83.5
26.3,83.5
26.4,83.4
26.4,83.3
26.4,83.2
26.4,83.2
26.3,83.3
26.3,83.4
26.3,83.3
26.3,83.2
26.3,83.2
26.3,83.2
26.4,83.1
26.3,83.1
26.4,83.1
26.3,83.1
26.3,83.1
26.4,83.1
26.3,83.2
26.4,83.1
26.3,83.0
26.4,83.0
26.4,83.0
26.4,83.0
26.3,83.0
26.3,82.9
26.4,83.0
26.4,82.9
26.4,82.9
26.4,82.9
26.4,82.9
26.4,82.9
26.4,82.9
26.4,82.9
26.4,82.9
26.4,82.9
26.4,82.9
26.4,82.9
26.4,82.9
26.4,82.9
26.4,82.9
26.4,82.9
26.4,83.0
26.4,83.0
26.4,83.0
26.4,83.0
26.4,83.0
26.4,83.0
26.4,82.9
26.4,82.9
26.4,82.9
26.4,82.9
26.4,82.9
26.4,82.7
26.4,82.6
26.4,82.7
26.4,82.7
26.4,82.7
26.4,82.8
26.4,82.7
26.4,82.6
26.4,82.5
26.4,82.6
26.4,83.0
26.4,83.3
26.4,83.3
26.4,83.3
26.4,83.0
26.4,82.7
26.4,82.7
26.4,82.6
26.4,82.6
26.4,82.6
26.4,82.6
26.4,82.4
26.4,82.4
26.4,82.6
26.4,82.8
26.4,83.0
26.4,83.0
26.4,82.8
26.4,82.7
26.4,82.5
26.4,82.7
26.4,83.1
26.4,83.1
26.4,82.8
26.4,82.6
26.4,82.3
26.4,82.1
26.4,82.2
26.4,83.2
26.4,83.4
26.4,83.1
26.4,82.8
26.4,82.6
26.4,82.4
26.4,82.4
26.4,82.3
26.4,82.4
26.4,82.4
26.4,82.4
26.4,82.4
26.4,82.5
26.4,82.6
26.4,82.7
26.4,82.8
26.4,82.8
26.4,82.8
26.4,82.7
26.4,82.8
26.4,83.0
26.4,83.0
26.4,82.9
26.4,82.9
26.4,82.7
26.4,82.8
26.4,82.6
26.4,82.4
26.4,82.4
26.4,82.4
26.4,82.6
26.4,82.6
26.4,82.5
26.4,82.4
26.4,82.4
26.4,82.3
26.4,82.2
26.4,82.2
26.4,82.3
26.4,82.3
26.4,82.4
26.4,82.4
26.4,82.3
26.4,82.2
26.4,82.2
26.4,82.4
26.4,82.2
26.4,82.2
26.4,82.1
26.4,82.2
26.4,82.3
26.4,83.0
26.4,83.2
26.4,82.9
26.4,82.6
26.4,82.4
26.4,82.2
26.4,82.3
26.4,82.5
26.4,82.4
26.4,82.4
26.4,82.4
26.4,82.5
26.4,82.6
26.4,82.6
26.4,82.5
26.4,82.4
26.4,82.3
26.4,82.4
26.4,82.5
26.4,82.6
26.4,82.6
26.4,82.6
26.4,82.5
26.4,82.5
26.4,82.6
26.4,82.6
26.4,82.6
26.4,82.6
26.4,82.6
26.4,82.7
26.4,82.6
26.4,82.6
26.4,82.7
26.4,82.6
26.4,82.6
26.4,82.5
26.4,82.5
26.4,82.4
26.4,82.4
26.4,82.5
26.4,82.5
26.4,82.5
26.4,82.5
26.4,82.4
26.4,82.3
26.4,82.3
26.4,82.2
26.4,82.2
26.4,82.2
26.4,82.2
26.4,82.2
26.4,82.2
26.4,82.1
26.4,82.1
26.4,82.2
26.4,82.2
26.4,82.2
26.4,82.1
26.4,82.1
26.4,82.2
26.4,82.5
26.4,82.8
26.4,82.7
26.4,82.6
26.4,82.5
26.4,82.5
26.4,82.3
26.4,82.5
26.4,82.5
26.4,82.5
26.4,82.4
26.4,82.4
26.4,82.3
26.4,82.3
26.4,82.2
26.4,82.2
26.4,82.2
26.3,82.2
26.3,82.1
26.4,82.1
26.4,82.2
26.4,82.2
26.4,82.2
26.3,82.3
26.3,82.2
26.4,82.1
26.4,81.9
26.4,81.9
26.4,82.0
26.3,82.1
26.3,82.1
26.3,82.2
26.3,82.2
26.3,82.2
26.3,82.2
26.3,82.2
26.4,82.2
26.3,82.2
26.4,82.2
26.3,82.3
26.3,82.4
26.3,82.5
26.3,82.4
26.3,82.4
26.4,82.4
26.4,82.3
26.4,82.4
26.4,82.4
26.4,82.3
26.4,82.3
26.4,82.4
26.3,82.4
26.3,82.5
26.3,82.5
26.4,82.5
26.4,82.4
26.3,82.3
26.3,82.3
26.3,82.3
26.3,82.3
26.3,82.3
26.3,82.4
26.3,82.4
26.3,82.2
26.3,82.3
26.3,82.3
26.3,82.3
26.3,82.3
26.3,82.3
26.3,82.2
26.3,82.2
26.3,82.2
26.3,82.2
26.3,82.2
26.3,82.0
26.3,81.9
26.3,81.9
26.3,81.9
26.3,82.1
26.3,82.2
26.3,82.2
26.3,82.1
26.3,82.0
26.3,82.0
26.3,81.9
26.3,81.9
26.3,82.3
26.3,82.0
26.3,81.8
26.3,81.7
26.3,81.6
26.3,81.7
26.3,81.7
26.3,81.8
26.3,81.7
26.3,81.5
26.3,81.5
26.3,81.4
26.3,81.4
26.3,81.4
26.3,81.4
26.3,81.4
26.3,81.4
26.3,81.5
26.3,81.5
26.3,81.4
26.3,81.3
26.2,81.4
26.3,81.4
26.3,81.4
26.2,81.3
26.2,81.3
26.2,81.2
26.2,81.2
26.2,81.2
26.2,81.1
26.2,81.1
26.2,81.1
26.2,81.2
26.2,81.3
26.2,81.4
26.2,81.3
26.2,81.4
26.2,81.4
26.2,81.5
26.2,81.4
26.2,81.3
26.2,81.2
26.2,81.3
26.2,81.3
26.2,81.4
26.2,81.4
26.2,81.3
26.2,81.3
26.2,81.2
26.2,81.2
26.2,81.4
26.2,81.6
